                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    127,                0.57933,                0.47808,                0.99793,                0.81648,                0.68996,                0.75426,                0.45761,                 1.4328,                 1.2664,                 1.7289,             0.00041712,             0.00041712,             0.00041712
                    128,                0.57437,                0.48578,                  1.003,                 0.7737,                0.70954,                0.74287,                0.44109,                 1.4769,                 1.3875,                 1.7659,             0.00041476,             0.00041476,             0.00041476
                    129,                0.58504,                0.48308,                 1.0074,                0.79115,                0.68052,                0.73245,                0.44511,                  1.476,                 1.3319,                 1.7613,             0.00041241,             0.00041241,             0.00041241
                    130,                0.58454,                0.48047,                0.99989,                0.78448,                 0.6823,                0.71913,                 0.4308,                 1.4704,                 1.3612,                 1.7911,             0.00041005,             0.00041005,             0.00041005
                    131,                0.57137,                 0.4768,                0.99491,                 0.7854,                0.70554,                0.73394,                0.44546,                 1.4559,                 1.3414,                 1.7653,             0.00040769,             0.00040769,             0.00040769
                    132,                0.58206,                0.49257,                 1.0011,                0.80988,                0.69182,                0.74623,                0.46616,                 1.4516,                 1.3007,                 1.7165,             0.00040534,             0.00040534,             0.00040534
                    133,                0.57561,                 0.4761,                 1.0032,                 0.7954,                0.71089,                0.74644,                0.45155,                 1.4297,                 1.3774,                 1.7118,             0.00040298,             0.00040298,             0.00040298
                    134,                0.57867,                0.47461,                0.99882,                0.79309,                 0.7017,                0.73522,                0.44689,                 1.5167,                 1.3978,                 1.7877,             0.00040063,             0.00040063,             0.00040063
                    135,                0.57566,                0.47377,                0.99978,                0.82388,                0.72323,                0.75564,                0.45595,                 1.4523,                 1.2767,                 1.7628,             0.00039827,             0.00039827,             0.00039827
                    136,                0.56984,                0.47171,                0.99064,                0.84314,                0.65772,                 0.7532,                0.44674,                 1.4656,                 1.3193,                 1.7633,             0.00039591,             0.00039591,             0.00039591
                    137,                0.54258,                0.45146,                0.97654,                0.78343,                0.67893,                0.74727,                0.44527,                 1.4793,                 1.3955,                 1.7933,             0.00039356,             0.00039356,             0.00039356
                    138,                0.55349,                0.45791,                0.99169,                0.78887,                 0.6885,                0.76141,                0.43973,                 1.5146,                 1.3621,                 1.8194,              0.0003912,              0.0003912,              0.0003912
                    139,                0.56034,                0.46722,                0.99482,                0.79881,                0.70539,                0.76906,                0.46721,                 1.4665,                 1.2721,                 1.7626,             0.00038884,             0.00038884,             0.00038884
                    140,                 0.5515,                0.46381,                0.98923,                0.83659,                0.69675,                0.76952,                0.46113,                 1.4793,                 1.3892,                 1.7613,             0.00038649,             0.00038649,             0.00038649
                    141,                0.55199,                0.46022,                0.98751,                0.80228,                0.71792,                0.76661,                0.47205,                 1.4402,                 1.3511,                 1.7159,             0.00038413,             0.00038413,             0.00038413
                    142,                0.54537,                0.46304,                0.99172,                0.82521,                0.70055,                 0.7654,                0.46861,                 1.4385,                 1.4145,                 1.7347,             0.00038178,             0.00038178,             0.00038178
                    143,                0.54921,                0.45434,                0.97827,                 0.8101,                0.63253,                0.72903,                0.45151,                 1.4956,                 1.5683,                 1.7622,             0.00037942,             0.00037942,             0.00037942
                    144,                0.55028,                0.46047,                0.98838,                0.79916,                0.70574,                0.75728,                0.47165,                 1.4629,                 1.2934,                  1.781,             0.00037706,             0.00037706,             0.00037706
                    145,                0.53747,                  0.442,                0.97923,                0.78786,                0.73713,                0.76093,                0.46047,                 1.4797,                  1.254,                 1.7824,             0.00037471,             0.00037471,             0.00037471
                    146,                0.54498,                0.44401,                0.98447,                0.72449,                0.73721,                0.75798,                0.46541,                 1.4227,                  1.265,                 1.7178,             0.00037235,             0.00037235,             0.00037235
                    147,                0.53892,                0.44837,                0.97843,                0.76381,                0.69519,                0.74743,                0.45455,                 1.4949,                 1.3585,                 1.7939,             0.00036999,             0.00036999,             0.00036999
                    148,                0.54467,                0.44141,                0.98919,                0.75959,                0.69756,                0.75428,                 0.4542,                 1.4857,                 1.4764,                 1.7688,             0.00036764,             0.00036764,             0.00036764
                    149,                0.54282,                 0.4435,                0.98258,                0.72579,                0.70541,                0.75114,                0.45906,                 1.4601,                 1.4607,                 1.7349,             0.00036528,             0.00036528,             0.00036528
